time,iface,sip,dip,dport,proto,packets received,packets sent,%,data vol. received,data vol. sent,%
1464051637,eth0,0.0.0.0,255.255.255.255,67,UDP,141,0,5.23,72493,0,13.74
1464051637,eth0,213.156.236.87,213.156.236.255,4002,UDP,5,0,0.19,470,0,0.09
1464051637,eth0,213.156.236.245,213.156.236.32,22,TCP,15,5,0.74,1030,370,0.27
1464051637,eth0,fe80::ec4:7aff:fe08:65f9,ff02::1:2,547,UDP,3,0,0.11,270,0,0.05
1464051637,eth0,169.254.204.142,169.254.255.255,138,UDP,1,0,0.04,243,0,0.05
1464051637,eth0,213.156.236.167,213.156.236.119,22,TCP,2,0,0.07,188,0,0.04
1464051637,eth0,213.156.236.239,213.156.236.255,138,UDP,1,0,0.04,243,0,0.05
1464051637,eth0,213.156.236.227,213.156.236.255,138,UDP,1,0,0.04,243,0,0.05
1464051637,eth2,10.20.0.1,10.20.0.2,0,ESP,60,60,4.45,9640,9640,3.65
1464051637,t4_12743,213.156.234.2,224.0.0.5,0,OSPFIGP,20,0,0.74,1680,0,0.32
1464051637,eth0,213.156.236.245,213.156.236.32,22,TCP,25,15,1.48,1690,1135,0.54
1464051637,eth0,213.156.236.113,213.156.236.255,138,UDP,2,0,0.07,493,0,0.09
1464051637,eth0,213.156.236.212,213.156.236.255,138,UDP,1,0,0.04,250,0,0.05
1464051637,t4_12745,213.156.234.1,224.0.0.5,0,OSPFIGP,0,20,0.74,0,1680,0.32
1464051637,eth0,213.156.236.109,213.156.236.255,138,UDP,1,0,0.04,243,0,0.05
1464051637,eth3,10.30.0.2,10.30.0.1,0,ESP,100,60,5.93,16280,9640,4.91
1464051637,eth0,213.156.236.111,213.156.236.255,137,UDP,3,0,0.11,276,0,0.05
1464051637,eth0,169.254.169.121,169.254.255.255,137,UDP,3,0,0.11,276,0,0.05
1464051637,eth0,213.156.236.25,213.156.236.32,22,TCP,25,15,1.48,1690,1135,0.54
1464051637,eth0,169.254.193.111,169.254.255.255,138,UDP,1,0,0.04,243,0,0.05
1464051637,t4_12759,213.156.234.1,224.0.0.5,0,OSPFIGP,0,20,0.74,0,1680,0.32
1464051637,eth0,169.254.251.62,169.254.255.255,138,UDP,2,0,0.07,493,0,0.09
1464051637,eth5,10.0.0.1,10.50.0.2,500,UDP,0,17,0.63,0,10710,2.03
1464051637,eth0,169.254.169.121,169.254.255.255,138,UDP,2,0,0.07,492,0,0.09
1464051637,eth0,169.254.204.142,169.254.255.255,137,UDP,3,0,0.11,276,0,0.05
1464051637,t4_12743,213.156.234.1,224.0.0.5,0,OSPFIGP,0,20,0.74,0,1680,0.32
1464051637,eth1,10.0.0.1,10.0.0.2,0,ESP,60,60,4.45,9640,9640,3.65
1464051637,eth0,213.156.236.110,213.156.236.255,138,UDP,1,0,0.04,243,0,0.05
1464051637,t4_12749,213.156.234.1,224.0.0.5,0,OSPFIGP,0,20,0.74,0,1600,0.30
